Cilium compartment(s),Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,Subcellular location,Subcellular main location,Subcellular additional location,Reliability (IF),RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type specific nCPM,Protein cell type specificity
Primary cilium; Primary cilium tip,CHRM4,,ENSG00000180720,Cholinergic receptor muscarinic 4,P08173,11,46383789-46391776,FDA approved drug targets; G-protein coupled receptors; Predicted membrane proteins,,G-protein coupled receptor; Receptor; Transducer,FDA approved drug targets,Evidence at protein level,Nucleoplasm; Golgi apparatus; Plasma membrane; Primary cilium; Primary cilium tip,Golgi apparatus,Nucleoplasm; Plasma membrane; Primary cilium; Primary cilium tip,Uncertain,Tissue enhanced,Detected in some,,"{'brain': '4.6', 'intestine': '5.8', 'lymphoid tissue': '14.4'}",Cell type enhanced,"{'Cone photoreceptor cells': '6.2', 'Early spermatids': '2.5', 'Goblet cells': '14.8', 'Late primary spermatocytes': '8.0', 'Late spermatids': '10.0', 'Neuroendocrine cells': '3.5', 'Pancreatic islet cells': '5.8'}",Not detected
Basal body; Centrosome; Primary cilium,CKAP5,ch-TOG; KIAA0097; TOG; TOGp,ENSG00000175216,Cytoskeleton associated protein 5,Q14008,11,46743048-46846308,Essential proteins; Plasma proteins; Predicted intracellular proteins,Cell cycle; Cell division; Mitosis,,,Evidence at protein level,Nucleoli; Nucleoli rim; Plasma membrane; Mitotic spindle; Primary cilium; Centrosome; Basal body,Centrosome; Basal body,Nucleoli; Nucleoli rim; Plasma membrane; Mitotic spindle; Primary cilium,Approved,Low tissue specificity,Detected in all,,,Low cell type specificity,,Low cell type specificity
Primary cilium,CLNS1A,CLCI; ICln,ENSG00000074201,Chloride nucleotide-sensitive channel 1A,P54105,11,77514936-77637794,Essential proteins; Predicted intracellular proteins; Transporters,mRNA processing; mRNA splicing,,,Evidence at protein level,Nucleoplasm; Microtubules; Primary cilium; Cytosol; Connecting piece; Mid piece; Principal piece,Nucleoplasm; Cytosol,Microtubules; Primary cilium; Connecting piece; Mid piece; Principal piece,Supported,Low tissue specificity,Detected in all,,,Low cell type specificity,,Cell type enhanced
Primary cilium,CSNK2A3,CSNK2A1P,ENSG00000254598,Casein kinase 2 alpha 3,Q8NEV1,11,11351942-11353250,Enzymes; Predicted intracellular proteins,,Kinase; Serine/threonine-protein kinase; Transferase,Proto-oncogene,Evidence at protein level,Nucleoplasm; Primary cilium,Nucleoplasm,Primary cilium,Approved,Tissue enhanced,Detected in single,,{'skeletal muscle': '1.7'},Not detected,,Not detected
Basal body; Primary cilium,CSTPP1,C11orf49; FLJ22210; MGC4707,ENSG00000149179,Centriolar satellite-associated tubulin polyglutamylase complex regulator 1,Q9H6J7,11,46936689-47164385,Predicted intracellular proteins,,,,Evidence at protein level,Primary cilium; Basal body; Cytosol,Primary cilium; Basal body; Cytosol,,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Choroid plexus epithelial cells': '592.2', 'Respiratory ciliated cells': '554.5'}",Group enriched
Basal body,CTNND1,CTNND; KIAA0384; p120; p120cas; p120ctn,ENSG00000198561,Catenin delta 1,O60716,11,57753243-57819546,Cancer-related genes; Disease related genes; Human disease related genes; Plasma proteins; Potential drug targets; Predicted intracellular proteins; Transporters,Cell adhesion; Transcription; Transcription regulation; Wnt signaling pathway,,Cancer-related genes; Disease variant; Ectodermal dysplasia,Evidence at protein level,Plasma membrane; Basal body,Plasma membrane,Basal body,Enhanced,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Distal convoluted tubule cells': '113.4', 'Esophageal apical cells': '103.4', 'Foveolar cells': '138.5', 'Microglia': '134.0', 'Papillary tip epithelial cells': '128.0', 'Podocytes': '142.5', 'Renal collecting duct intercalated cells': '120.6', 'Renal collecting duct principal cells': '105.3', 'Renal connecting tubule cells': '105.8'}",Low cell type specificity
Primary cilium; Primary cilium tip,DNAJB13,RSPH16A; TSARG6,ENSG00000187726,DnaJ heat shock protein family (Hsp40) member B13,P59910,11,73951026-73970366,Disease related genes; Human disease related genes; Predicted intracellular proteins,Cilium biogenesis/degradation,Chaperone,Ciliopathy; Disease variant; Primary ciliary dyskinesia,Evidence at protein level,Nucleoli; Nucleoli rim; Mitotic chromosome; Vesicles; Plasma membrane; Primary cilium; Primary cilium tip; Mid piece; Principal piece; End piece,Plasma membrane; Mid piece; Principal piece; End piece,Nucleoli; Nucleoli rim; Mitotic chromosome; Vesicles; Primary cilium; Primary cilium tip,Uncertain,Group enriched,Detected in many,6,"{'choroid plexus': '25.4', 'fallopian tube': '50.1', 'testis': '18.0'}",Cell type enhanced,"{'Choroid plexus epithelial cells': '52.8', 'Early spermatids': '76.8', 'Endometrial ciliated cells': '170.5', 'Ependymal cells': '110.1', 'Epididymal efferent duct ciliated cells': '141.0', 'Fallopian tube ciliated cells': '273.2', 'Late primary spermatocytes': '91.4', 'Late spermatids': '80.8', 'Oocytes': '41.4', 'Respiratory ciliated cells': '137.4'}",Cell type enriched
Centrosome,DPF2,BAF45d; REQ; SMARCG2; ubi-d4,ENSG00000133884,Double PHD fingers 2,Q92785,11,65333843-65354262,Disease related genes; Human disease related genes; Plasma proteins; Predicted intracellular proteins,Apoptosis; Transcription; Transcription regulation,Chromatin regulator,Disease variant; Intellectual disability,Evidence at protein level,Nucleoplasm; Vesicles; Centrosome; Cytosol,Nucleoplasm,Vesicles; Centrosome; Cytosol,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,{'Oocytes': '179.6'},Cell type enhanced
Centrosome,DRD4,,ENSG00000069696,Dopamine receptor D4,P21917,11,637269-640706,FDA approved drug targets; G-protein coupled receptors; Human disease related genes; Predicted membrane proteins,Biological rhythms,G-protein coupled receptor; Receptor; Transducer,FDA approved drug targets,Evidence at protein level,Plasma membrane; Centrosome,Plasma membrane,Centrosome,Uncertain,Low tissue specificity,Detected in many,,,Cell type enhanced,"{'Choroid plexus epithelial cells': '9.8', 'Cone photoreceptor cells': '8.3', 'Ependymal cells': '15.1', 'pDCs': '16.9', 'Retinal bipolar cells': '12.1', 'Retinal pigment epithelial cells': '42.6', 'Rod photoreceptor cells': '49.7'}",Not detected
Primary cilium; Primary cilium transition zone,EHD1,FLJ42622; FLJ44618; H-PAST; HPAST1; PAST1,ENSG00000110047,EH domain containing 1,Q9H4M9,11,64851642-64888296,Plasma proteins; Predicted intracellular proteins; Transporters,Cilium biogenesis/degradation; Protein transport; Transport,,,Evidence at protein level,Plasma membrane; Primary cilium; Primary cilium transition zone,Plasma membrane,Primary cilium; Primary cilium transition zone,Supported,Tissue enhanced,Detected in all,,"{'bone marrow': '143.0', 'testis': '148.3'}",Group enriched,"{'Early spermatids': '1211.5', 'Late spermatids': '3099.1', 'Neutrophils': '1042.5'}",Low cell type specificity
Centrosome,EMSY,C11orf30,ENSG00000158636,"EMSY transcriptional repressor, BRCA2 interacting",Q7Z589,11,76444923-76553031,Plasma proteins; Predicted intracellular proteins,DNA damage; DNA repair; Transcription; Transcription regulation,Chromatin regulator; Repressor,,Evidence at protein level,Nucleoplasm; Centrosome,Nucleoplasm,Centrosome,Supported,Low tissue specificity,Detected in all,,,Low cell type specificity,,Cell type enhanced
Centriolar satellite,ENSG00000256514,,ENSG00000256514,Novel protein,,11,67351572-67373584,Predicted intracellular proteins,,,,Evidence at transcript level,Centriolar satellite,Centriolar satellite,,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Cardiomyocytes': '8.3', 'Endometrial glandular cells': '6.3', 'Endometrial luminal cells': '8.1', 'Epicardial cells': '15.9', 'Salivary myoepithelial cells': '7.4'}",
Centrosome,EPS8L2,FLJ21935; FLJ22171; MGC3088,ENSG00000177106,EPS8 like 2,Q9H6S3,11,694438-727727,Disease related genes; Human disease related genes; Predicted intracellular proteins,,,Deafness; Non-syndromic deafness,Evidence at protein level,Centrosome; Cytosol,Centrosome; Cytosol,,Supported,Tissue enhanced,Detected in many,,{'esophagus': '184.2'},Cell type enriched,{'Esophageal apical cells': '1188.6'},Cell type enhanced
Primary cilium,ESRRA,ERR1; ERRa; ERRalpha; ESRL1; NR3B1,ENSG00000173153,Estrogen related receptor alpha,P11474,11,64305497-64316743,Nuclear receptors; Predicted intracellular proteins; Transcription factors,Transcription; Transcription regulation,DNA-binding; Receptor,,Evidence at protein level,Nucleoplasm; Nucleoli fibrillar center; Microtubules; Cytokinetic bridge; Mitotic spindle; Primary cilium,Nucleoplasm; Nucleoli fibrillar center,Microtubules; Cytokinetic bridge; Mitotic spindle; Primary cilium,Supported,Tissue enhanced,Detected in all,,{'skeletal muscle': '179.8'},Cell type enhanced,"{'Colonocytes': '198.7', 'Enterocytes': '212.6'}",Cell type enriched
Centriolar satellite,FRMD8,FKSG44; FLJ90369; iTAP,ENSG00000126391,FERM domain containing 8,Q9BZ67,11,65386621-65413525,Predicted intracellular proteins,,,,Evidence at protein level,Nucleoplasm; Plasma membrane; Centriolar satellite; Cytosol,Plasma membrane; Centriolar satellite,Nucleoplasm; Cytosol,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Esophageal apical cells': '151.6', 'Urothelial cells': '125.9'}",Low cell type specificity
Primary cilium,FZD4,CD344; EVR1,ENSG00000174804,Frizzled class receptor 4,Q9ULV1,11,86945679-86955395,CD markers; Disease related genes; G-protein coupled receptors; Human disease related genes; Potential drug targets; Predicted membrane proteins,Wnt signaling pathway,Developmental protein; G-protein coupled receptor; Receptor; Transducer,Disease variant,Evidence at protein level,Nucleoplasm; Plasma membrane; Primary cilium,Plasma membrane,Nucleoplasm; Primary cilium,Supported,Tissue enhanced,Detected in many,,{'adipose tissue': '112.7'},Cell type enhanced,"{'Adipocytes': '189.5', 'Distal convoluted tubule cells': '78.1', 'Fibro-adipogenic progenitors': '53.6', 'Lymphatic endothelial cells': '43.1', 'Pituitary stem cells': '58.0', 'Renal connecting tubule cells': '65.7', 'Thymic myoid cells': '58.5', 'Vascular endothelial cells': '92.4'}",Not detected
Centrosome,GVQW3,,ENSG00000179240,GVQW motif containing 3,Q3ZCU0,11,76381303-76414619,Predicted intracellular proteins,,,,Evidence at transcript level,Nucleoplasm; Endoplasmic reticulum; Centrosome; Cytosol,Nucleoplasm; Centrosome,Endoplasmic reticulum; Cytosol,Approved,Tissue enhanced,Detected in many,,{'retina': '13.2'},Cell type enhanced,"{'Adrenal medulla cells': '31.9', 'Brain excitatory neurons': '30.6', 'Brain inhibitory neurons': '29.7', 'Rod photoreceptor cells': '35.9'}",Not detected
Basal body,HRAS,HRAS1,ENSG00000174775,"HRas proto-oncogene, GTPase",P01112,11,532242-537321,Cancer-related genes; Disease related genes; Enzymes; Human disease related genes; Plasma proteins; Potential drug targets; Predicted intracellular proteins; RAS pathway related proteins,,Hydrolase,Cancer-related genes; Disease variant; Proto-oncogene,Evidence at protein level,Nucleoplasm; Basal body; Cytosol,Cytosol,Nucleoplasm; Basal body,Supported,Tissue enhanced,Detected in all,,{'brain': '123.5'},Cell type enhanced,"{'Basal keratinocytes': '65.6', 'Breast myoepithelial cells': '81.8', 'Esophageal suprabasal cells': '57.1', 'Suprabasal keratinocytes': '77.5'}",Cell type enhanced
Primary cilium,IFT46,C11orf2; C11orf60; CFAP32; FLJ21827,ENSG00000118096,Intraflagellar transport 46,Q9NQC8,11,118544528-118572970,Predicted intracellular proteins; Transporters,,,,Evidence at protein level,Actin filaments; Primary cilium; Principal piece,Actin filaments; Primary cilium; Principal piece,,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Cardiomyocytes': '80.5', 'Endometrial ciliated cells': '87.5', 'Ependymal cells': '92.8', 'Epididymal efferent duct ciliated cells': '122.6', 'Fallopian tube ciliated cells': '170.8', 'Respiratory ciliated cells': '115.9'}",Cell type enriched
Primary cilium,IL10RA,CD210; CD210a; CDW210A; HIL-10R; IL10R,ENSG00000110324,Interleukin 10 receptor subunit alpha,Q13651,11,117986370-118003037,CD markers; Disease related genes; Human disease related genes; Potential drug targets; Predicted membrane proteins; Transporters,,Receptor,Disease variant,Evidence at protein level,Plasma membrane; Primary cilium; Cytosol,Plasma membrane; Cytosol,Primary cilium,Supported,Tissue enhanced,Detected in many,,"{'bone marrow': '54.5', 'lymphoid tissue': '71.6'}",Cell type enhanced,"{'cDC': '186.9', 'Extravillous trophoblasts': '162.3', 'Hofbauer cells': '83.9', 'Kupffer cells': '342.3', 'Macrophages': '166.4', 'Microglia': '94.5', 'monocytes': '232.6', 'Neutrophils': '206.8', 'NK-cells': '87.3', 'pDCs': '108.8', 'Plasma cells': '87.3', 'T-cells': '113.9'}",Not detected
Centrosome,KLHL35,FLJ33790,ENSG00000149243,Kelch like family member 35,Q6PF15,11,75422394-75433203,Predicted intracellular proteins,,,,Evidence at protein level,Nucleoplasm; Nucleoli fibrillar center; Centrosome,Nucleoplasm; Centrosome,Nucleoli fibrillar center,Approved,Tissue enhanced,Detected in some,,"{'brain': '10.4', 'testis': '9.0'}",Cell type enhanced,"{'Differentiating spermatogonia': '46.5', 'Early spermatids': '24.5', 'Late primary spermatocytes': '23.7', 'Late spermatids': '39.1', 'Oocytes': '59.9', 'Platelets': '26.8', 'Retinal bipolar cells': '25.5', 'Undifferentiated spermatogonia': '73.7'}",Not detected
Basal body; Centrosome; Primary cilium,KMT5B,CGI-85; SUV420H1,ENSG00000110066,Lysine methyltransferase 5B,Q4FZB7,11,68154863-68213852,Disease related genes; Enzymes; Essential proteins; Human disease related genes; Metabolic proteins; Plasma proteins; Potential drug targets; Predicted intracellular proteins,Myogenesis; Transcription; Transcription regulation,Chromatin regulator; Methyltransferase; Repressor; Transferase,Disease variant; Intellectual disability,Evidence at protein level,Nucleoplasm; Nucleoli fibrillar center; Plasma membrane; Microtubules; Cytokinetic bridge; Mitotic spindle; Primary cilium; Centrosome; Basal body; Cytoplasmic bodies,Nucleoplasm; Nucleoli fibrillar center,Plasma membrane; Microtubules; Cytokinetic bridge; Mitotic spindle; Primary cilium; Centrosome; Basal body; Cytoplasmic bodies,Supported,Low tissue specificity,Detected in all,,,Low cell type specificity,,Group enriched
Basal body; Centriolar satellite; Centrosome,LGR4,GPR48,ENSG00000205213,Leucine rich repeat containing G protein-coupled receptor 4,Q9BXB1,11,27365961-27472790,Disease related genes; G-protein coupled receptors; Human disease related genes; Potential drug targets; Predicted intracellular proteins; Predicted membrane proteins,Biological rhythms; Differentiation; Immunity; Innate immunity; Spermatogenesis; Wnt signaling pathway,Developmental protein; G-protein coupled receptor; Receptor; Transducer,Osteoporosis,Evidence at protein level,Centriolar satellite; Centrosome; Basal body,Centrosome,Centriolar satellite; Basal body,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Bergmann glia': '588.2', 'Distal convoluted tubule cells': '1083.9', 'Endometrial glandular cells': '726.4', 'Loop of henle epithelial cells': '599.3', 'Müller glia': '644.6', 'Pancreatic acinar cells': '671.5', 'Pituicytes/FSCs': '769.3', 'Podocytes': '677.0', 'Renal collecting duct intercalated cells': '992.3', 'Syncytiotrophoblasts': '615.9'}",Cell type enhanced
Centriolar satellite,MAP3K11,MEKK11; MLK3; PTK1; SPRK,ENSG00000173327,Mitogen-activated protein kinase kinase kinase 11,Q16584,11,65597756-65615382,Enzymes; Predicted intracellular proteins,,Kinase; Serine/threonine-protein kinase; Transferase,,Evidence at protein level,Centriolar satellite; Cytosol,Centriolar satellite; Cytosol,,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Enterocytes': '106.5', 'Late spermatids': '110.3', 'Neutrophils': '128.7'}",Cell type enhanced
Primary cilium transition zone,MRGPRF,GPR140; GPR168; MGC21621; mrgF,ENSG00000172935,MAS related GPR family member F,Q96AM1,11,69004395-69013382,G-protein coupled receptors; Predicted intracellular proteins; Predicted membrane proteins; Transporters,,G-protein coupled receptor; Receptor; Transducer,,Evidence at protein level,Nucleoplasm; Nuclear membrane; Vesicles; Plasma membrane; Primary cilium transition zone,Vesicles; Plasma membrane,Nucleoplasm; Nuclear membrane; Primary cilium transition zone,Approved,Tissue enhanced,Detected in many,,"{'endometrium 1': '169.7', 'intestine': '162.2'}",Cell type enhanced,"{'Decidual stromal cells': '136.3', 'Fibroblasts': '45.8', 'Hepatic stellate cells': '64.5', 'Leydig cells': '42.0', 'Ovarian stromal cells': '29.0', 'Pericytes': '81.4', 'Peritubular myoid cells': '101.6', 'Podocytes': '56.5', 'Smooth muscle cells': '157.5', 'Vascular smooth muscle cells': '128.2'}",Group enriched
Primary cilium,MRPL11,,ENSG00000174547,Mitochondrial ribosomal protein L11,Q9Y3B7,11,66435075-66466738,Predicted intracellular proteins; Ribosomal proteins,,Ribonucleoprotein; Ribosomal protein,,Evidence at protein level,Primary cilium; Mitochondria,Mitochondria,Primary cilium,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Enteric transient amplifying cells': '179.0', 'Esophageal basal cells': '259.2', 'Extravillous trophoblasts': '217.2', 'Migrating cytotrophoblasts': '219.0'}",Cell type enhanced
